id,name,category,year,parts,raw_price,mean_price
75879-1,Scuderia Ferrari SF16-H,Speed Champions,2017,184,"['\n$100.84\n', '\n$100.84\n']",100.84
66647-1,Speed Champions Bundle,Speed Champions,2020,0,[],0
5004550-1,Speed Champions Collection,Speed Champions,2015,0,[],0
5004559-1,Speed Champions Collection 2,Speed Champions,2015,0,[],0
76901-1,Toyota GR Supra,Speed Champions,2021,306,"['\n$17.99\n', '\n$19.99\n', '\n$22.00\n', '\n$17.99\n', '\n$19.99\n', '\n$22.00\n']",19.99
TRUPODIUM-1,Winner's Podium,Speed Champions,2016,40,[],0
75280-1,501st Legion Clone Troopers,Star Wars,2020,285,"['\n$24.99\n', '\n$29.99\n', '\n$32.00\n', '\n$24.99\n', '\n$29.99\n', '\n$32.00\n']",28.99
30052-1,AAT,Star Wars,2011,46,[],0
75029-1,AAT,Star Wars,2014,95,"['\n$19.10\n', '\n$19.10\n']",19.1
75080-1,AAT,Star Wars,2015,251,"['\n$71.27\n', '\n$62.50\n', '\n$71.27\n', '\n$62.50\n']",66.88
911611-1,AAT,Star Wars,2016,37,"['\n$4.88\n', '\n$4.88\n']",4.88
911612-1,Acklay,Star Wars,2016,49,"['\n$6.93\n', '\n$6.93\n']",6.93
75241-1,Action Battle Echo Base Defense,Star Wars,2019,504,"['\n$48.00\n', '\n$58.85\n', '\n$48.00\n', '\n$58.85\n']",53.42
75238-1,Action Battle Endor Assault,Star Wars,2019,193,"['\n$34.00\n', '\n$34.99\n', '\n$34.00\n', '\n$34.99\n']",34.5
75239-1,Action Battle Hoth Generator Attack,Star Wars,2019,235,"['\n$34.95\n', '\n$39.99\n', '\n$34.95\n', '\n$39.99\n']",37.47
5002947-1,Admiral Yularen,Star Wars,2015,4,"['\n$44.63\n', '\n$44.63\n']",44.63
75200-1,Ahch-To Island Training,Star Wars,2018,241,"['\n$68.00\n', '\n$42.61\n', '\n$68.00\n', '\n$42.61\n']",55.31
7751-1,Ahsoka's Starfighter and Vulture Droid,Star Wars,2009,291,[],0
