set_id,set_name_x,release_year,num_parts,num_figs,retail_price,num_unique_figs,set_rating,retire_price,pop_price,category,num_reviews,return
75121,Imperial Death Trooper,2016,106,0,64.4,0,4.6,22.325,35.8,Star Wars,4.0,0.5559
75132,First Order Battle Pack,2016,88,4,38.63,2,4.6,12.33,26.68,Star Wars,38.0,0.69065
75139,Battle on Takodana,2016,409,5,161.07,2,4.6,54.65,90.7,Star Wars,47.0,0.56311
75147,StarScavenger,2016,558,4,161.07,3,4.7,52.32,85.61,Star Wars,12.0,0.53151
75148,Encounter on Jakku,2016,530,4,161.07,2,4.5,52.07,88.44,Star Wars,24.0,0.54908
75154,TIE Striker,2016,543,4,193.29,2,4.4,85.02,105.41,Star Wars,39.0,0.54535
75155,Rebel U-Wing Fighter,2016,659,5,225.51,4,4.9,72.82,115.92,Star Wars,56.0,0.51403
75156,Krennic's Imperial Shuttle,2016,863,6,257.73,6,4.7,81.27,141.6,Star Wars,39.0,0.54941
75159,Death Star,2016,4024,27,1320.99,8,4.9,488.71,1603.57,Star Wars > Ultimate Collector Series,84.0,1.21392
75871,Ford Mustang GT,2016,188,1,41.86,1,4.9,16.755,44.51,Speed Champions,28.0,1.06331
75872,Audi R18 e-tron quattro,2016,169,1,41.86,1,4.7,14.465,47.95,Speed Champions,9.0,1.14548
76045,Kryptonite Interception,2016,307,3,96.62,2,4.8,35.985,54.66,Super Heroes DC > Justice League,18.0,0.56572
76054,Batman: Scarecrow Harvest of Fear,2016,564,5,193.29,5,4.4,53.22,99.56,Super Heroes DC > Batman,9.0,0.51508
76055,Batman: Killer Croc Sewer Smash,2016,760,5,225.51,4,4.5,71.815,127.72,Super Heroes DC > Batman,11.0,0.56636
76060,Doctor Strange's Sanctum Sanctorum,2016,359,3,96.62,3,4.9,30.345,65.41,Super Heroes Marvel,15.0,0.67698
