set_id    ,set_name_x                                                          ,release_year ,theme_id ,num_parts ,num_figs ,retail_price ,num_unique_figs ,set_rating ,retire_price ,pop_price ,retire_month ,year ,parts ,raw_price                                                                                                                ,mean_price ,category                                         ,ages   ,list_price          ,num_reviews ,piece_count ,play_star_rating ,review_difficulty ,set_name_y                                         ,star_rating ,theme_name                            ,val_star_rating ,country
71701     ,Kai's Fire Dragon                                                   ,        2020 ,     435 ,       81 ,       2 ,       17.99 ,              0 ,       4.7 ,      18.23  ,   18.27  ,21-Dec       ,2020 ,   81 ,"['\n$26.99\n', '\n$17.05\n', '\n$26.99\n', '\n$17.05\n']                                                              " ,     22.02 ,Ninjago                                          ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
71702     ,Golden Mech                                                         ,        2020 ,     435 ,      489 ,       4 ,       34.99 ,              3 ,       4.9 ,      50.56  ,   71.15  ,20-Dec       ,2020 ,  489 ,"['\n$129.97\n', '\n$94.89\n', '\n$94.89\n']                                                                           " ,    106.58 ,Ninjago                                          ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
71704     ,Kai Fighter                                                         ,        2020 ,     435 ,      513 ,       4 ,       34.99 ,              1 ,       4.7 ,      43.14  ,   46.7   ,21-Nov       ,2020 ,  513 ,"['\n$54.85\n', '\n$94.99\n', '\n$39.66\n', '\n$54.85\n', '\n$94.99\n', '\n$39.66\n']                                  " ,     63.17 ,Ninjago                                          ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
71707     ,Kai's Mech Jet                                                      ,        2020 ,     435 ,      226 ,       2 ,       17.99 ,              0 ,       4.6 ,      19.6   ,   24.58  ,21-Sep       ,2020 ,  226 ,"['\n$22.95\n', '\n$20.35\n', '\n$22.95\n', '\n$20.35\n']                                                              " ,     21.65 ,Ninjago                                          ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
71708     ,Gamer's Market                                                      ,        2020 ,     435 ,      228 ,       9 ,       29.99 ,              6 ,       4.9 ,      33.43  ,   31.87  ,21-Oct       ,2020 ,  228 ,"['\n$50.99\n', '\n$49.00\n', '\n$39.07\n', '\n$33.58\n', '\n$50.99\n', '\n$49.00\n', '\n$39.07\n', '\n$33.58\n']      " ,     43.16 ,Ninjago                                          ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
71717     ,Journey to the Skull Dungeons                                       ,        2020 ,     435 ,      401 ,       4 ,       24.99 ,              0 ,       4.6 ,      29.14  ,   32.53  ,21-Oct       ,2020 ,  401 ,"['\n$53.90\n', '\n$33.00\n', '\n$36.90\n', '\n$53.90\n', '\n$33.00\n', '\n$36.90\n']                                  " ,     41.27 ,Ninjago                                          ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
71720     ,Fire Stone Mech                                                     ,        2020 ,     435 ,      977 ,       5 ,       64.99 ,              1 ,       4.8 ,      60.56  ,   66.39  ,21-Oct       ,2020 ,  977 ,"['\n$106.98\n', '\n$87.00\n', '\n$99.00\n', '\n$106.98\n', '\n$87.00\n', '\n$99.00\n']                                " ,     97.66 ,Ninjago                                          ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
75265     ,T-16 Skyhopper vs. Bantha Microfighters                             ,        2020 ,     158 ,      198 ,       2 ,       17.99 ,              1 ,       4.8 ,      18.19  ,   20.61  ,21-Jan       ,2020 ,  198 ,"['\n$34.95\n', '\n$29.50\n', '\n$35.00\n', '\n$34.95\n', '\n$29.50\n', '\n$35.00\n']                                  " ,     33.15 ,Star Wars                                        ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
75267     ,Mandalorian Battle Pack                                             ,        2020 ,     158 ,      107 ,       4 ,       12.99 ,              3 ,       4.6 ,      17.73  ,   18.83  ,22-Mar       ,2020 ,  107 ,"['\n$23.97\n', '\n$29.97\n', '\n$21.95\n', '\n$23.97\n', '\n$29.97\n', '\n$21.95\n']                                  " ,     25.3  ,Star Wars                                        ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
75269     ,Duel on Mustafar                                                    ,        2020 ,     158 ,      208 ,       2 ,       19.99 ,              1 ,       4.7 ,      20.49  ,   27.78  ,21-Jun       ,2020 ,  208 ,"['\n$42.95\n', '\n$41.00\n', '\n$36.79\n', '\n$42.95\n', '\n$41.00\n', '\n$36.79\n']                                  " ,     40.25 ,Star Wars                                        ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
75270     ,Obi-Wan's Hut                                                       ,        2020 ,     158 ,      200 ,       4 ,       24.99 ,              1 ,       4.6 ,      27.05  ,   28.4   ,21-Nov       ,2020 ,  200 ,"['\n$35.92\n', '\n$35.90\n', '\n$27.50\n', '\n$35.00\n', '\n$35.92\n', '\n$35.90\n', '\n$27.50\n', '\n$35.00\n']      " ,     33.58 ,Star Wars                                        ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
75271     ,Luke Skywalker's Landspeeder                                        ,        2020 ,     158 ,      236 ,       2 ,       24.99 ,              1 ,       4.7 ,      27.75  ,   32.21  ,22-Jan       ,2020 ,  236 ,"['\n$35.45\n', '\n$38.79\n', '\n$35.45\n', '\n$38.79\n']                                                              " ,     37.12 ,Star Wars                                        ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
